0.001157073	0.012
0.001491261	0.024
0.001861969	0.038
0.002252253	0.05
0.002812133	0.062
0.003295386	0.072
0.003861685	0.082
0.0045253	0.096
0.005473839	0.106
0.006414496	0.12
0.007759025	0.132
0.009385378	0.146
0.011352628	0.158
0.013303531	0.17
0.01558969	0.182
0.018268715	0.196
0.022097982	0.212
0.026729895	0.228
0.032332693	0.244
0.037888935	0.26
0.044399995	0.274
0.053706586	0.292
0.062935846	0.31
0.076127698	0.33
0.092084668	0.35
0.107909046	0.37
0.130527638	0.392
0.148183176	0.41
0.168226851	0.43
0.197135955	0.448
0.223801122	0.47
0.262260438	0.492
0.307328832	0.512
0.348899	0.536
0.40885588	0.554
0.464158883	0.572
0.526942328	0.596
0.598218038	0.618
0.657933225	0.64
0.746927135	0.658
0.821486727	0.68
0.903488991	0.7
1.025697469	0.718
1.2406918	0.738
1.453899661	0.754
1.703746429	0.766
2.060865205	0.78
2.49283891	0.794
3.015357733	0.81
3.647400649	0.826
4.554096237	0.844
5.686184362	0.858
7.099694631	0.872
8.864584867	0.886
10.72267222	0.9
13.81961257	0.916
16.71631306	0.928
22.23859973	0.94
27.76682165	0.95
36.93967864	0.958
47.60865918	0.97
65.37730248	0.976
89.7776109	0.982
131.3582338	0.986
180.3841387	0.99
272.4342516	0.992
424.7165393	0.996
583.2304907	0.998
909.238226	1
1248.586781	1
1885.741217	1
2508.701768	1
